sp,lat,lon
vociferans,5.07386,-52.6995
vociferans,-2.05393,-60.1005
vociferans,-9.24665,-55.988
vociferans,-2.16268,-49.5488
vociferans,-1.90497,-59.9745
vociferans,-2.73781,-60.9427
vociferans,4.65956,-58.9169
vociferans,5.02052,-61.1106
vociferans,7.94492,-61.687
vociferans,4.24485,-58.9055
vociferans,4.0447,-58.9999
vociferans,4.47135,-61.5883
vociferans,-9.78438,-55.742
vociferans,-2.64535,-60.0425
vociferans,-15.3811,-58.426
vociferans,-5.80333,-59.2567
vociferans,-3.62214,-60.0522
vociferans,-5.28904,-59.6648
vociferans,-5.53614,-59.7182
vociferans,-13.5407,-56.6315
vociferans,-4.03944,-59.0467
vociferans,5.33042,-55.262
vociferans,4.55309,-58.7684
vociferans,4.73095,-58.7347
vociferans,3.75194,-59.3097
vociferans,3.83685,-58.6725
vociferans,5.2115,-55.0651
vociferans,-7.50284,-58.2579
vociferans,-7.13813,-58.2323
vociferans,-7.3464,-58.1597
vociferans,-9.54644,-55.909
vociferans,-2.31785,-51.394
vociferans,-1.89604,-61.5312
vociferans,-2.91781,-59.9653
vociferans,4.95209,-55.1788
vociferans,-14.5566,-60.9274
vociferans,-14.5579,-61.1392
vociferans,-2.74889,-60.4306
vociferans,-2.52501,-60.7922
vociferans,5.40787,-53.586
vociferans,4.19577,-52.1509
vociferans,3.6229,-53.2082
vociferans,4.5917,-61.3417
vociferans,-3.9081,-63.4131
vociferans,7.34812,-62.5411
vociferans,-12.5323,-68.6766
vociferans,-9.47074,-56.3159
vociferans,-4.62439,-56.3874
vociferans,-8.51584,-57.887
vociferans,4.89394,-56.1228
vociferans,3.70804,-54.9193
vociferans,-10.342,-56.9495
vociferans,-14.0479,-60.3265
vociferans,-1.36509,-61.802
vociferans,-2.73456,-60.7544
vociferans,5.3606,-55.5975
vociferans,6.08302,-58.7769
vociferans,3.9022,-56.1711
vociferans,4.71313,-56.2088
vociferans,4.08333,-52.6833
vociferans,-8.49421,-60.9622
vociferans,7.15,-61.9608
vociferans,-12.8193,-65.7711
vociferans,-1.95,-51.6
vociferans,-2.55928,-64.6758
vociferans,-2.40355,-59.8659
vociferans,-2.33782,-60.1027
vociferans,-1.27815,-60.4439
vociferans,-1.69508,-63.7921
vociferans,-9.87794,-56.0985
vociferans,-2.41303,-60.9727
vociferans,-1.97418,-51.9763
vociferans,3.15423,-55.7529
vociferans,-14.8811,-61.084
vociferans,-2.5742,-59.554
vociferans,-5.96981,-50.36486
vociferans,4.27,-54.738
vociferans,4.82,-54.589
vociferans,-9.05418,-56.5863
vociferans,-4.39827,-59.5825
vociferans,-1.75479,-51.449
vociferans,3.2197,-59.3983
vociferans,-6.05043,-50.1917
vociferans,-8.81162,-63.9318
vociferans,-8.34624,-63.41
vociferans,-12.1441,-54.1046
vociferans,-2.9019,-60.5649
vociferans,-10.2979,-62.8667
vociferans,5.20096,-60.7362
vociferans,3.268,-58.779
vociferans,3.33113,-59.25483
vociferans,-5.80639,-60.2211
vociferans,-3.04361,-54.92806
vociferans,5.42598,-56.7279
vociferans,2.3535,-56.7932
vociferans,1.38,-58.93
vociferans,8.03798,-61.9112
vociferans,7.25137,-64.8611
vociferans,4.28333,-58.51667
vociferans,5.8251,-60.7144
vociferans,5.8391,-60.9832
vociferans,7.64695,-58.9503
vociferans,8.10233,-59.8836
vociferans,7.76345,-59.9724
vociferans,6.61231,-58.6314
vociferans,5.81315,-57.6705
vociferans,1.67583,-58.6227
vociferans,4.71305,-59.6985
vociferans,-9.15879,-60.7341
vociferans,-9.6966,-56.0413
vociferans,5.90467,-58.3217
vociferans,5.9855,-58.5507
vociferans,-17.383,-64.404
vociferans,5.66667,-57.88333
vociferans,-17.0167,-65.3953
vociferans,-1.88583,-61.7375
vociferans,5.99609,-61.4141
vociferans,-2.5876,-60.2217
vociferans,-2.96293,-60.9583
vociferans,6.18267,-61.4106
vociferans,-0.80027,-61.5582
vociferans,-14.2667,-60.8667
vociferans,5.5,-60.78333
vociferans,3.41667,-59.56667
vociferans,-17.26667,-64.76667
vociferans,-9.867,-65.7
vociferans,-10.28333,-52.11667
vociferans,-13.535,-61.008
vociferans,-13.655,-60.812
vociferans,-14.8647,-60.328
vociferans,-14.9889,-61.5825
vociferans,8.16667,-61.75
vociferans,4.62032,-61.1005
vociferans,8.83359,-62.769
vociferans,6.72211,-61.6472
vociferans,-1.98333,-59.5
vociferans,-15.458,-55.7646
vociferans,3.40296,-61.5999
vociferans,5.42769,-55.0678
vociferans,7.63333,-64.88333
vociferans,-1.45,-48.4833
vociferans,5.95528,-57.79583
vociferans,-11.65,-61.2
vociferans,2.85,-60.72
vociferans,0.98,-52.05
vociferans,-7.2,-58.05
vociferans,-2.43,-54.7
vociferans,7.6167,-59.6333
vociferans,4.41666,-55.78333
vociferans,-7.6667,-65.7667
vociferans,-4,-53
vociferans,5.15,-53.75
vociferans,-16,-64.41667
vociferans,-0.8,-48.13333
vociferans,-10.31,-58.49
vociferans,-3.08,-60.82
vociferans,4.9333,-52.3333
vociferans,-4.85,-56.0666667
vociferans,-4.68730556,-61.4081667
vociferans,-2.46666667,-56
vociferans,-7.46666667,-62.8166667
vociferans,-8.39875,-55.3855556
vociferans,-1.73016667,-65.8793056
vociferans,-1.28333333,-58.6833333
vociferans,-0.93333333,-53.2333333
vociferans,-0.81666667,-53.9166667
